Time (BKK),Close Time,Leg,TF,Type,Entry,SL,TP,Lot,P&L,Balance,Outcome
28-03-2024 09:00:00,28-03-2024 09:00:00,LTS44_26 INVERSE_S84c4369_RD1.3-2.0_H8,M30,BUY,2189.31,2187.21,2191.06,6.99,1083.59,1583.59,TP
28-03-2024 17:00:00,28-03-2024 17:00:00,LTS44_38 DIRECT_S84c5505_RD3.4-4.0_H16,M30,BUY,2197.79,2194.23,2202.06,2.62,1066.62,2650.21,TP
01-04-2024 13:00:00,01-04-2024 14:30:00,LTS44_15 DIRECT_S84c4369_RD4.0-5.0_H12,M30,BUY,2261.65,2256.88,2267.37,2.01,-998.23,1651.98,SL
01-04-2024 21:00:00,02-04-2024 15:00:00,LTS44_29 DIRECT_S86c7171_RDall_H20,M30,SELL,2246.59,2260.71,2228.23,0.13,-182.31,1469.67,SL
02-04-2024 09:30:00,02-04-2024 09:30:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2248.23,2247.26,2249.31,4.46,392.67,1862.34,TP
02-04-2024 09:30:00,02-04-2024 09:30:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,BUY,2248.23,2247.26,2249.31,2.59,228.32,2090.66,TP
03-04-2024 09:45:00,03-04-2024 09:45:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2282.47,2283.36,2281.48,4.46,-486.37,1604.28,SL
03-04-2024 09:45:00,03-04-2024 09:45:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,SELL,2282.47,2283.36,2281.48,2.59,-282.8,1321.48,SL
03-04-2024 13:30:00,03-04-2024 13:30:00,LTS44_3 INVERSE_S84c3057_RD0.8-1.3_H12,M15,SELL,2281.38,2282.69,2280.29,0.0,-0.0,1321.48,SL
03-04-2024 13:30:00,03-04-2024 13:30:00,LTS44_25 INVERSE_S84c3057_RD0.8-1.3_H12,M15,SELL,2281.38,2282.69,2280.29,34.51,-5211.09,-3889.6,SL
04-04-2024 09:15:00,04-04-2024 09:30:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2300.44,2301.2,2299.59,5.35,-514.04,-4403.64,SL
04-04-2024 09:15:00,04-04-2024 09:30:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,SELL,2300.44,2301.2,2299.59,3.11,-298.89,-4702.53,SL
04-04-2024 11:45:00,04-04-2024 12:00:00,LTS44_2 INVERSE_S84c889_RD0.8-1.3_H10,M15,SELL,2298.68,2299.64,2297.88,6.71,-778.25,-5480.78,SL
08-04-2024 09:00:00,08-04-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2324.31,2322.73,2326.07,2.68,417.66,-5063.13,TP
08-04-2024 11:00:00,08-04-2024 11:45:00,LTS44_14 INVERSE_S84c3057_RD5.0-7.0_H10,M15,SELL,2345.59,2351.84,2340.38,0.87,436.9,-4626.22,TP
09-04-2024 09:00:00,09-04-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2339.97,2341.25,2338.55,3.57,435.51,-4190.72,TP
09-04-2024 21:00:00,09-04-2024 21:00:00,LTS44_17 INVERSE_S84c6017_RD4.0-5.0_H20,M30,SELL,2355.41,2360.23,2351.39,3.96,-1988.63,-6179.35,SL
10-04-2024 09:00:00,10-04-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2349.39,2348.33,2350.57,3.57,349.83,-5829.51,TP
10-04-2024 09:00:00,10-04-2024 09:00:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,BUY,2349.39,2348.33,2350.57,2.08,203.41,-5626.1,TP
10-04-2024 10:15:00,10-04-2024 10:15:00,LTS44_36 INVERSE_S84c3057_RD0.8-1.3_H9,M15,BUY,2353.1,2351.7,2354.27,1.82,-290.66,-5916.76,SL
10-04-2024 11:30:00,10-04-2024 11:30:00,LTS44_2 INVERSE_S84c889_RD0.8-1.3_H10,M15,BUY,2354.18,2353.11,2355.07,6.71,462.93,-5453.83,TP
10-04-2024 18:00:00,10-04-2024 19:30:00,LTS44_30 INVERSE_S86c7187_RDall_H17,M30,BUY,2347.45,2335.91,2356.33,0.52,-612.76,-6066.59,SL
10-04-2024 18:00:00,10-04-2024 19:30:00,LTS44_40 INVERSE_S86c7171_RDall_H17,M30,BUY,2347.45,2335.91,2356.33,0.0,-0.0,-6066.59,SL
11-04-2024 18:30:00,12-04-2024 00:00:00,LTS44_30 INVERSE_S86c7187_RDall_H17,M30,BUY,2337.77,2317.5,2353.36,0.52,803.27,-5263.33,TP
11-04-2024 18:30:00,12-04-2024 00:00:00,LTS44_40 INVERSE_S86c7171_RDall_H17,M30,BUY,2337.77,2317.5,2353.36,0.0,0.0,-5263.33,TP
15-04-2024 09:15:00,15-04-2024 09:15:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2362.78,2361.12,2364.63,2.68,441.75,-4821.57,TP
15-04-2024 10:30:00,15-04-2024 12:00:00,LTS44_16 INVERSE_S84c5505_RD3.4-4.0_H9,M30,BUY,2357.76,2353.02,2361.71,3.98,-1968.29,-6789.87,SL
15-04-2024 12:15:00,15-04-2024 12:45:00,LTS44_34 INVERSE_S84c28_RD3.4-4.0_H11,M15,SELL,2355.09,2358.62,2351.17,0.85,-316.28,-7106.15,SL
16-04-2024 09:00:00,16-04-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2383.7,2382.21,2385.35,2.68,-452.46,-7558.61,SL
16-04-2024 10:15:00,16-04-2024 10:15:00,LTS44_36 INVERSE_S84c3057_RD0.8-1.3_H9,M15,BUY,2387.12,2385.63,2388.36,1.82,188.93,-7369.68,TP
16-04-2024 21:30:00,16-04-2024 21:30:00,LTS44_24 DIRECT_S84c889_RD5.0-7.0_H20,M15,SELL,2366.72,2372.99,2359.2,0.61,-392.53,-7762.21,SL
17-04-2024 09:00:00,17-04-2024 09:15:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2384.65,2383.28,2386.17,2.68,353.4,-7408.81,TP
17-04-2024 22:30:00,17-04-2024 23:30:00,LTS44_41 INVERSE_S86c7187_RDall_H21,M30,BUY,2384.99,2371.42,2395.43,0.06,-85.9,-7494.71,SL
18-04-2024 09:15:00,18-04-2024 09:15:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2370.7,2369.33,2372.22,2.68,-420.33,-7915.04,SL
19-04-2024 21:00:00,19-04-2024 21:00:00,LTS44_29 DIRECT_S86c7171_RDall_H20,M30,SELL,2378.83,2390.68,2363.43,0.13,-153.41,-8068.45,SL
22-04-2024 09:00:00,22-04-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2378.05,2376.49,2379.78,2.68,-471.2,-8539.65,SL
23-04-2024 09:45:00,23-04-2024 09:45:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2310.74,2316.56,2304.27,0.89,559.55,-7980.1,TP
24-04-2024 09:15:00,24-04-2024 09:30:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2319.57,2317.87,2321.46,2.68,-508.69,-8488.78,SL
24-04-2024 21:00:00,24-04-2024 21:45:00,LTS44_24 DIRECT_S84c889_RD5.0-7.0_H20,M15,BUY,2321.28,2315.28,2328.48,0.61,424.68,-8064.1,TP
25-04-2024 09:45:00,25-04-2024 09:45:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2321.46,2320.48,2322.55,4.46,-526.53,-8590.63,SL
25-04-2024 09:45:00,25-04-2024 09:45:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,BUY,2321.46,2320.48,2322.55,2.59,-306.15,-8896.79,SL
25-04-2024 10:15:00,25-04-2024 13:45:00,LTS44_11 DIRECT_S86c11_RDall_H9,M15,SELL,2306.81,2321.77,2287.36,0.0,-0.0,-8896.79,SL
25-04-2024 10:15:00,25-04-2024 13:45:00,LTS44_22 DIRECT_S86c11_RDall_H9,M15,SELL,2306.81,2321.77,2287.36,0.62,-936.55,-9833.34,SL
25-04-2024 17:30:00,25-04-2024 19:30:00,LTS44_38 DIRECT_S84c5505_RD3.4-4.0_H16,M30,BUY,2327.12,2323.47,2331.5,2.62,-1008.97,-10842.31,SL
25-04-2024 21:30:00,25-04-2024 21:30:00,LTS44_24 DIRECT_S84c889_RD5.0-7.0_H20,M15,BUY,2324.9,2319.86,2330.95,0.61,354.91,-10487.4,TP
26-04-2024 09:00:00,26-04-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2332.11,2330.72,2333.66,2.68,361.43,-10125.96,TP
26-04-2024 21:00:00,26-04-2024 21:30:00,LTS44_24 DIRECT_S84c889_RD5.0-7.0_H20,M15,BUY,2341.5,2336.08,2348.0,0.61,-340.96,-10466.92,SL
26-04-2024 22:00:00,29-04-2024 23:00:00,LTS44_41 INVERSE_S86c7187_RDall_H21,M30,BUY,2333.38,2317.07,2345.93,0.06,77.04,-10389.88,TP
29-04-2024 09:00:00,29-04-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2330.99,2330.16,2331.91,4.46,-459.6,-10849.48,SL
29-04-2024 09:00:00,29-04-2024 09:00:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,BUY,2330.99,2330.16,2331.91,2.59,-267.23,-11116.72,SL
29-04-2024 21:30:00,29-04-2024 22:15:00,LTS44_24 DIRECT_S84c889_RD5.0-7.0_H20,M15,BUY,2338.84,2333.19,2345.62,0.61,-354.91,-11471.63,SL
30-04-2024 09:00:00,30-04-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2334.03,2334.67,2333.32,6.25,318.6,-11153.03,TP
01-05-2024 09:00:00,01-05-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2288.0,2288.91,2286.99,4.46,361.43,-10791.6,TP
01-05-2024 09:00:00,01-05-2024 09:00:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,SELL,2288.0,2288.91,2286.99,2.59,210.15,-10581.44,TP
01-05-2024 13:30:00,01-05-2024 13:45:00,LTS44_3 INVERSE_S84c3057_RD0.8-1.3_H12,M15,BUY,2288.82,2287.52,2289.9,0.0,-0.0,-10581.44,SL
01-05-2024 13:30:00,01-05-2024 13:45:00,LTS44_25 INVERSE_S84c3057_RD0.8-1.3_H12,M15,BUY,2288.82,2287.52,2289.9,34.51,-5176.58,-15758.02,SL
01-05-2024 21:30:00,01-05-2024 21:30:00,LTS44_17 INVERSE_S84c6017_RD4.0-5.0_H20,M30,SELL,2305.8,2310.64,2301.77,3.96,1517.22,-14240.8,TP
02-05-2024 09:30:00,02-05-2024 09:30:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2322.28,2323.43,2321.0,3.57,385.53,-13855.27,TP
02-05-2024 09:30:00,02-05-2024 09:30:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,SELL,2322.28,2323.43,2321.0,2.08,224.16,-13631.11,TP
02-05-2024 21:00:00,02-05-2024 21:30:00,LTS44_24 DIRECT_S84c889_RD5.0-7.0_H20,M15,BUY,2291.44,2284.52,2299.74,0.61,491.42,-13139.69,TP
03-05-2024 09:00:00,03-05-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2302.63,2303.78,2301.35,3.57,385.53,-12754.16,TP
03-05-2024 09:00:00,03-05-2024 09:00:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,SELL,2302.63,2303.78,2301.35,2.08,224.16,-12529.99,TP
03-05-2024 10:30:00,03-05-2024 11:00:00,LTS44_36 INVERSE_S84c3057_RD0.8-1.3_H9,M15,BUY,2301.53,2300.4,2302.47,2.27,168.04,-12361.96,TP
03-05-2024 11:45:00,03-05-2024 11:45:00,LTS44_2 INVERSE_S84c889_RD0.8-1.3_H10,M15,BUY,2306.09,2305.13,2306.89,6.71,402.54,-11959.41,TP
03-05-2024 21:45:00,03-05-2024 22:15:00,LTS44_24 DIRECT_S84c889_RD5.0-7.0_H20,M15,BUY,2288.09,2281.92,2295.49,0.61,436.82,-11522.59,TP
06-05-2024 21:00:00,06-05-2024 21:30:00,LTS44_24 DIRECT_S84c889_RD5.0-7.0_H20,M15,BUY,2327.96,2322.15,2334.93,0.61,-364.62,-11887.22,SL
07-05-2024 09:00:00,07-05-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2322.76,2323.5,2321.94,5.35,331.98,-11555.23,TP
07-05-2024 09:00:00,07-05-2024 09:00:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,SELL,2322.76,2323.5,2321.94,3.11,193.03,-11362.2,TP
07-05-2024 17:30:00,07-05-2024 19:00:00,LTS44_38 DIRECT_S84c5505_RD3.4-4.0_H16,M30,BUY,2314.52,2311.03,2318.71,2.62,-967.04,-12329.24,SL
07-05-2024 20:30:00,07-05-2024 21:30:00,LTS44_39 INVERSE_S84c6017_RD3.4-4.0_H19,M30,SELL,2318.2,2322.58,2314.55,6.41,2210.81,-10118.43,TP
08-05-2024 09:45:00,08-05-2024 09:45:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2313.56,2312.96,2314.23,7.14,335.55,-9782.87,TP
08-05-2024 13:00:00,08-05-2024 14:00:00,LTS44_15 DIRECT_S84c4369_RD4.0-5.0_H12,M30,SELL,2317.69,2322.06,2312.45,2.01,1012.29,-8770.58,TP
08-05-2024 21:30:00,09-05-2024 21:00:00,LTS44_29 DIRECT_S86c7171_RDall_H20,M30,BUY,2315.56,2302.77,2332.19,0.13,209.17,-8561.41,TP
09-05-2024 09:00:00,09-05-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2309.9,2310.77,2308.93,4.46,343.59,-8217.82,TP
09-05-2024 09:00:00,09-05-2024 09:00:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,SELL,2309.9,2310.77,2308.93,2.59,199.78,-8018.05,TP
09-05-2024 17:45:00,09-05-2024 18:45:00,LTS44_44 DIRECT_S86c11_RD2.7-3.4_H16,M15,BUY,2312.34,2309.04,2316.63,5.27,2156.12,-5861.93,TP
13-05-2024 09:00:00,13-05-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2359.15,2358.26,2360.14,4.46,-486.37,-6348.3,SL
13-05-2024 09:00:00,13-05-2024 09:00:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,BUY,2359.15,2358.26,2360.14,2.59,-282.8,-6631.1,SL
13-05-2024 10:15:00,13-05-2024 10:15:00,LTS44_36 INVERSE_S84c3057_RD0.8-1.3_H9,M15,SELL,2357.95,2358.95,2357.12,2.72,171.67,-6459.44,TP
13-05-2024 11:30:00,13-05-2024 11:30:00,LTS44_2 INVERSE_S84c889_RD0.8-1.3_H10,M15,SELL,2355.57,2356.99,2354.39,4.47,438.33,-6021.11,TP
13-05-2024 18:00:00,13-05-2024 18:00:00,LTS44_6 DIRECT_S84c6017_RD3.4-4.0_H17,M30,BUY,2343.28,2339.38,2347.96,3.51,-1439.46,-7460.57,SL
13-05-2024 21:30:00,13-05-2024 22:00:00,LTS44_24 DIRECT_S84c889_RD5.0-7.0_H20,M15,BUY,2345.22,2339.62,2351.94,0.61,-351.88,-7812.45,SL
14-05-2024 09:00:00,14-05-2024 09:00:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,BUY,2341.94,2341.42,2342.52,8.03,305.21,-7507.24,TP
15-05-2024 09:15:00,15-05-2024 09:15:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2356.76,2357.16,2356.32,10.71,-642.55,-8149.79,SL
15-05-2024 10:30:00,15-05-2024 10:30:00,LTS44_36 INVERSE_S84c3057_RD0.8-1.3_H9,M15,BUY,2358.34,2356.91,2359.53,1.82,179.84,-7969.94,TP
16-05-2024 09:15:00,16-05-2024 09:15:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2388.71,2390.67,2386.53,1.78,-385.53,-8355.47,SL
16-05-2024 10:30:00,16-05-2024 12:30:00,LTS44_16 INVERSE_S84c5505_RD3.4-4.0_H9,M30,SELL,2389.13,2393.41,2385.56,3.98,-1785.01,-10140.48,SL
16-05-2024 11:30:00,16-05-2024 11:30:00,LTS44_2 INVERSE_S84c889_RD0.8-1.3_H10,M15,BUY,2389.94,2388.93,2390.78,6.71,429.38,-9711.1,TP
17-05-2024 09:15:00,17-05-2024 09:15:00,LTS44_1 INVERSE_S84c28_RDall_H8,M15,SELL,2378.09,2379.49,2376.54,2.68,-428.37,-10139.47,SL
17-05-2024 17:00:00,17-05-2024 17:30:00,LTS44_44 DIRECT_S86c11_RD2.7-3.4_H16,M15,SELL,2382.5,2385.71,2378.33,5.27,-1797.64,-11937.11,SL
20-05-2024 10:00:00,20-05-2024 12:30:00,LTS44_4 DIRECT_S84c4369_RD5.0-7.0_H9,M30,BUY,2434.05,2427.51,2441.9,0.0,0.0,-11937.11,TP
20-05-2024 10:00:00,20-05-2024 12:30:00,LTS44_37 DIRECT_S84c4369_RD5.0-7.0_H9,M30,BUY,2434.05,2427.51,2441.9,2.68,2052.59,-9884.52,TP
21-05-2024 09:00:00,22-05-2024 21:00:00,LTS44_21 DIRECT_S86c6275_RDall_H8,M30,SELL,2420.41,2438.48,2396.92,0.73,1699.52,-8185.01,TP
21-05-2024 14:00:00,21-05-2024 19:00:00,LTS44_18 DIRECT_S86c7171_RDall_H13,M30,SELL,2410.61,2423.86,2393.39,0.78,-1043.76,-9228.77,SL
21-05-2024 17:30:00,21-05-2024 18:00:00,LTS44_38 DIRECT_S84c5505_RD3.4-4.0_H16,M30,BUY,2416.67,2413.22,2420.81,2.62,1032.56,-8196.21,TP
22-05-2024 09:00:00,22-05-2024 09:00:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,BUY,2421.98,2420.84,2423.25,2.08,222.09,-7974.12,TP
22-05-2024 14:30:00,22-05-2024 21:00:00,LTS44_18 DIRECT_S86c7171_RDall_H13,M30,SELL,2412.96,2422.98,2399.93,0.78,995.65,-6978.47,TP
22-05-2024 14:30:00,22-05-2024 17:00:00,LTS44_35 INVERSE_S84c889_RD5.0-7.0_H13,M15,BUY,2412.96,2405.65,2419.05,0.34,202.33,-6776.14,TP
22-05-2024 17:00:00,22-05-2024 18:00:00,LTS44_38 DIRECT_S84c5505_RD3.4-4.0_H16,M30,BUY,2417.35,2413.43,2422.05,2.62,-1079.73,-7855.87,SL
23-05-2024 18:30:00,23-05-2024 19:30:00,LTS44_6 DIRECT_S84c6017_RD3.4-4.0_H17,M30,BUY,2368.73,2364.79,2373.46,3.51,-1453.5,-9309.37,SL
24-05-2024 13:00:00,24-05-2024 13:00:00,LTS44_3 INVERSE_S84c3057_RD0.8-1.3_H12,M15,BUY,2338.51,2336.95,2339.81,0.0,-0.0,-9309.37,SL
24-05-2024 13:00:00,24-05-2024 13:00:00,LTS44_25 INVERSE_S84c3057_RD0.8-1.3_H12,M15,BUY,2338.51,2336.95,2339.81,27.61,-4859.08,-14168.45,SL
24-05-2024 22:30:00,27-05-2024 09:15:00,LTS44_33 INVERSE_S86c11_RD5.0-7.0_H21,M15,BUY,2334.88,2327.08,2340.88,1.56,901.95,-13266.5,TP
27-05-2024 09:15:00,27-05-2024 09:15:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,SELL,2339.19,2340.0,2338.29,3.11,-314.45,-13580.95,SL
27-05-2024 13:00:00,27-05-2024 14:00:00,LTS44_15 DIRECT_S84c4369_RD4.0-5.0_H12,M30,BUY,2343.72,2339.64,2348.62,2.01,-859.65,-14440.6,SL
28-05-2024 09:15:00,28-05-2024 09:30:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,SELL,2353.63,2354.58,2352.58,2.59,220.53,-14220.06,TP
28-05-2024 09:30:00,28-05-2024 13:00:00,LTS44_21 DIRECT_S86c6275_RDall_H8,M30,SELL,2353.19,2359.08,2345.53,0.73,544.37,-13675.69,TP
28-05-2024 11:45:00,28-05-2024 12:00:00,LTS44_2 INVERSE_S84c889_RD0.8-1.3_H10,M15,BUY,2351.35,2350.01,2352.47,5.59,514.36,-13161.33,TP
29-05-2024 10:00:00,29-05-2024 12:30:00,LTS44_11 DIRECT_S86c11_RDall_H9,M15,SELL,2355.64,2359.56,2350.54,0.0,-0.0,-13161.33,SL
29-05-2024 10:00:00,29-05-2024 12:30:00,LTS44_22 DIRECT_S86c11_RDall_H9,M15,SELL,2355.64,2359.56,2350.54,0.62,-254.53,-13415.86,SL
30-05-2024 09:15:00,30-05-2024 09:15:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,BUY,2336.11,2335.24,2337.08,2.59,-277.61,-13693.47,SL
30-05-2024 10:45:00,30-05-2024 11:00:00,LTS44_36 INVERSE_S84c3057_RD0.8-1.3_H9,M15,BUY,2334.51,2333.06,2335.72,1.82,183.48,-13509.99,TP
31-05-2024 09:15:00,31-05-2024 09:30:00,LTS44_12 INVERSE_S84c28_RD0.8-1.3_H8,M15,BUY,2346.95,2345.89,2348.13,2.08,-261.53,-13771.52,SL
31-05-2024 09:30:00,31-05-2024 09:30:00,LTS44_26 INVERSE_S84c4369_RD1.3-2.0_H8,M30,SELL,2346.87,2348.66,2345.38,6.99,901.83,-12869.69,TP
