tf,signal,outcome,entry_time,exit_time,entry,tp,sl,pnl_usd_001lot,rsi
M1,SELL,TP,2026-04-10 19:33,2026-04-10 19:33,4776.32,4775.29,4781.83,0.83,68.84
M1,SELL,TP,2026-04-10 21:32,2026-04-10 21:32,4794.51,4793.52,4798.46,0.79,69.98
M1,SELL,TP,2026-04-13 14:04,2026-04-13 14:04,4737.25,4736.54,4740.97,0.51,72.75
M1,SELL,TP,2026-04-13 14:51,2026-04-13 14:51,4738.9,4738.25,4741.76,0.45,68.15
M1,SELL,TP,2026-04-13 19:48,2026-04-13 19:48,4721.31,4720.52,4724.6,0.59,70.11
M1,SELL,TP,2026-04-13 19:49,2026-04-13 19:50,4721.38,4720.6,4724.87,0.58,71.06
M1,SELL,TP,2026-04-13 19:50,2026-04-13 19:50,4721.68,4720.92,4724.83,0.56,69.78
M1,SELL,TP,2026-04-13 19:52,2026-04-13 19:52,4722.61,4721.84,4725.98,0.57,70.98
M1,SELL,TP,2026-04-13 19:56,2026-04-13 19:56,4724.4,4723.68,4727.51,0.52,70.84
M1,SELL,TP,2026-04-13 20:01,2026-04-13 20:01,4725.91,4725.19,4730.01,0.52,69.87
M1,SELL,TP,2026-04-13 20:06,2026-04-13 20:06,4729.12,4728.26,4733.41,0.66,69.79
M1,SELL,TP,2026-04-13 20:15,2026-04-13 20:15,4735.34,4734.47,4739.1,0.67,72.48
M1,SELL,TP,2026-04-14 14:09,2026-04-14 14:09,4794.41,4793.51,4799.33,0.7,82.57
M1,SELL,TP,2026-04-14 15:35,2026-04-14 15:35,4788.8,4788.13,4791.59,0.47,70.09
M1,BUY,TP,2026-04-14 16:32,2026-04-14 16:32,4775.27,4775.94,4772.2,0.47,31.48
M1,SELL,TP,2026-04-14 20:36,2026-04-14 20:36,4794.27,4793.3,4798.64,0.77,69.3
M1,SELL,SL,2026-04-15 15:59,2026-04-15 15:59,4818.01,4817.48,4820.36,-2.55,69.01
M1,BUY,SL,2026-04-15 22:06,2026-04-15 22:06,4808.9,4809.65,4805.19,-3.91,31.82
M1,BUY,TP,2026-04-16 15:04,2026-04-16 15:04,4815.28,4815.84,4812.9,0.36,26.8
M1,BUY,TP,2026-04-16 19:12,2026-04-16 19:12,4813.8,4814.42,4810.44,0.42,31.7
M1,SELL,TP,2026-04-16 22:10,2026-04-16 22:10,4810.03,4808.91,4815.02,0.92,69.8
M1,SELL,TP,2026-04-17 19:37,2026-04-17 19:37,4822.17,4821.25,4826.45,0.72,68.13
M1,SELL,TP,2026-04-17 19:41,2026-04-17 19:41,4823.49,4822.57,4827.62,0.72,69.65
M1,SELL,TP,2026-04-17 19:47,2026-04-17 19:47,4828.74,4827.73,4834.27,0.81,68.95
M1,SELL,TP,2026-04-17 19:54,2026-04-17 19:54,4843.06,4841.58,4850.21,1.28,76.1
M1,SELL,TP,2026-04-20 14:20,2026-04-20 14:20,4803.41,4802.64,4806.63,0.57,69.95
M1,BUY,TP,2026-04-20 16:34,2026-04-20 16:34,4784.47,4785.05,4781.56,0.38,26.27
M1,SELL,TP,2026-04-20 19:05,2026-04-20 19:05,4809.86,4809.2,4814.1,0.46,71.73
M1,SELL,TP,2026-04-21 14:49,2026-04-21 14:49,4789.78,4789.28,4792.05,0.3,69.24
M1,SELL,TP,2026-04-21 17:56,2026-04-21 17:56,4790.11,4789.81,4791.35,0.1,72.38
M1,BUY,SL,2026-04-21 21:46,2026-04-21 21:46,4743.06,4744.5,4736.65,-6.61,16.59
M1,BUY,TP,2026-04-21 21:48,2026-04-21 21:48,4728.46,4730.14,4720.68,1.48,10.68
M1,BUY,TP,2026-04-21 21:49,2026-04-21 21:49,4727.13,4728.88,4717.85,1.55,18.06
M1,BUY,TP,2026-04-22 15:35,2026-04-22 15:35,4752.83,4753.29,4750.94,0.26,31.36
M1,BUY,TP,2026-04-22 17:04,2026-04-22 17:04,4749.29,4749.83,4746.36,0.34,29.45
M1,BUY,TP,2026-04-22 21:37,2026-04-22 21:37,4731.64,4732.74,4726.6,0.9,23.98
M1,BUY,TP,2026-04-23 17:11,2026-04-23 17:11,4691.17,4691.82,4688.45,0.45,28.15
M1,SELL,TP,2026-04-23 19:04,2026-04-23 19:04,4731.06,4730.14,4735.47,0.72,80.89
M1,SELL,TP,2026-04-24 20:47,2026-04-24 20:47,4709.57,4708.59,4713.79,0.78,69.19
M1,BUY,SL,2026-04-27 21:55,2026-04-27 21:55,4680.57,4681.38,4677.32,-3.45,28.73
M1,BUY,TP,2026-04-28 16:24,2026-04-28 16:24,4614.37,4615.11,4611.14,0.54,28.58
M1,BUY,TP,2026-04-28 16:37,2026-04-28 16:38,4610.64,4611.46,4607.12,0.62,30.11
M1,SELL,TP,2026-04-29 15:57,2026-04-29 15:59,4575.53,4574.93,4577.91,0.4,69.85
M1,SELL,TP,2026-04-29 16:20,2026-04-29 16:20,4580.06,4579.51,4582.43,0.35,71.65
M1,SELL,TP,2026-04-29 17:32,2026-04-29 17:33,4575.7,4575.11,4578.14,0.39,70.13
M1,BUY,SL,2026-04-29 20:43,2026-04-29 20:45,4518.72,4519.95,4513.02,-5.9,26.12
M1,SELL,TP,2026-04-30 14:11,2026-04-30 14:11,4594.73,4593.96,4598.04,0.57,76.03
M1,SELL,SL,2026-04-30 17:27,2026-04-30 17:27,4635.48,4634.85,4638.15,-2.87,71.24
M1,BUY,TP,2026-04-30 20:39,2026-04-30 20:39,4624.33,4625.28,4620.35,0.75,31.34
M1,BUY,TP,2026-04-30 20:43,2026-04-30 20:43,4621.71,4622.65,4617.77,0.74,27.84
M1,BUY,TP,2026-04-30 20:55,2026-04-30 20:55,4612.54,4613.63,4607.99,0.89,31.5
M1,BUY,TP,2026-04-30 20:57,2026-04-30 20:57,4611.97,4613.01,4607.75,0.84,29.73
M1,BUY,TP,2026-05-01 15:26,2026-05-01 15:26,4568.16,4568.79,4565.33,0.43,29.91
M1,BUY,TP,2026-05-01 15:28,2026-05-01 15:28,4567.26,4567.89,4564.38,0.43,30.34
M1,SELL,TP,2026-05-01 19:28,2026-05-01 19:28,4606.29,4605.3,4610.81,0.79,86.81
M1,SELL,TP,2026-05-01 20:42,2026-05-01 20:42,4607.47,4606.49,4612.19,0.78,70.71
M1,SELL,TP,2026-05-01 21:14,2026-05-01 21:14,4658.6,4656.91,4665.59,1.49,80.31
M1,SELL,TP,2026-05-01 21:16,2026-05-01 21:16,4658.21,4656.54,4665.78,1.47,77.39
M1,BUY,TP,2026-05-04 17:05,2026-05-04 17:05,4554.76,4555.74,4548.06,0.78,21.51
M1,BUY,TP,2026-05-04 17:08,2026-05-04 17:08,4546.22,4547.49,4540.02,1.07,20.6
M1,BUY,TP,2026-05-04 17:16,2026-05-04 17:16,4539.29,4540.67,4532.47,1.18,24.19
M1,BUY,TP,2026-05-04 17:19,2026-05-04 17:19,4538.24,4539.69,4530.26,1.25,25.16
M1,BUY,TP,2026-05-04 17:20,2026-05-04 17:20,4536.64,4538.1,4529.74,1.26,24.12
M1,SELL,TP,2026-05-05 14:08,2026-05-05 14:08,4554.04,4553.48,4556.63,0.36,73.84
M1,SELL,TP,2026-05-05 15:58,2026-05-05 15:58,4558.57,4557.99,4561.14,0.38,68.62
M1,BUY,TP,2026-05-05 17:32,2026-05-05 17:32,4547.3,4547.75,4545.1,0.25,31.44
M1,SELL,TP,2026-05-05 20:15,2026-05-05 20:15,4580.08,4579.37,4583.41,0.51,71.26
M1,SELL,TP,2026-05-05 20:16,2026-05-05 20:16,4580.27,4579.55,4583.86,0.52,71.23
M1,BUY,TP,2026-05-06 14:16,2026-05-06 14:16,4657.87,4658.46,4655.45,0.39,29.69
M1,SELL,TP,2026-05-06 15:52,2026-05-06 15:52,4698.91,4697.86,4705.63,0.85,74.76
M1,SELL,TP,2026-05-06 17:45,2026-05-06 17:45,4715.3,4714.52,4718.83,0.58,69.88
M1,BUY,SL,2026-05-06 19:01,2026-05-06 19:01,4691.07,4691.97,4686.79,-4.48,23.93
M1,BUY,TP,2026-05-06 19:07,2026-05-06 19:07,4682.9,4684.04,4676.42,0.94,26.19
M1,BUY,TP,2026-05-06 19:14,2026-05-06 19:14,4675.83,4676.99,4670.23,0.96,25.25
M1,SELL,TP,2026-05-07 14:13,2026-05-07 14:13,4749.28,4748.36,4753.23,0.72,71.03
M1,SELL,TP,2026-05-07 20:35,2026-05-07 20:35,4756.75,4755.78,4761.43,0.77,73.19
M1,BUY,TP,2026-05-07 22:29,2026-05-07 22:29,4738.82,4739.84,4733.07,0.82,21.88
M1,BUY,TP,2026-05-07 22:51,2026-05-07 22:51,4734.18,4735.0,4730.63,0.62,29.18
M1,BUY,TP,2026-05-07 22:59,2026-05-07 22:59,4728.0,4728.89,4723.48,0.69,25.9
M1,BUY,TP,2026-05-08 14:18,2026-05-08 14:18,4713.92,4714.7,4710.2,0.58,31.11
M1,BUY,TP,2026-05-08 14:24,2026-05-08 14:24,4706.29,4707.29,4700.29,0.8,28.02
M1,BUY,SL,2026-05-08 14:25,2026-05-08 14:25,4705.67,4706.72,4700.09,-5.78,24.65
M1,SELL,TP,2026-05-08 15:26,2026-05-08 15:26,4721.35,4720.67,4724.76,0.48,70.38
M1,SELL,TP,2026-05-08 15:38,2026-05-08 15:38,4723.06,4722.43,4725.58,0.43,70.07
M1,SELL,TP,2026-05-08 17:40,2026-05-08 17:40,4727.27,4726.78,4729.37,0.29,74.71
M1,SELL,TP,2026-05-08 19:36,2026-05-08 19:36,4725.01,4723.88,4730.55,0.93,73.37
M1,SELL,TP,2026-05-08 20:36,2026-05-08 20:36,4742.24,4741.14,4748.03,0.9,70.6
M1,BUY,TP,2026-05-08 22:16,2026-05-08 22:16,4706.8,4707.76,4702.76,0.76,31.3
M1,BUY,TP,2026-05-08 22:17,2026-05-08 22:17,4706.85,4707.81,4702.56,0.76,30.32
M1,BUY,TP,2026-05-08 22:18,2026-05-08 22:19,4706.43,4707.39,4702.05,0.76,29.44
M1,BUY,TP,2026-05-11 14:50,2026-05-11 14:52,4667.5,4668.06,4664.77,0.36,25.5
M1,BUY,TP,2026-05-11 14:51,2026-05-11 14:51,4666.75,4667.31,4664.17,0.36,24.99
M1,SELL,TP,2026-05-11 19:58,2026-05-11 19:58,4699.77,4698.82,4703.96,0.75,70.51
M1,SELL,TP,2026-05-11 19:59,2026-05-11 19:59,4700.04,4699.11,4704.12,0.73,71.71
M1,SELL,TP,2026-05-11 20:02,2026-05-11 20:02,4704.71,4703.76,4708.83,0.75,74.02
M1,SELL,TP,2026-05-11 20:12,2026-05-11 20:12,4715.94,4714.93,4721.42,0.81,72.82
M1,SELL,SL,2026-05-11 20:16,2026-05-11 20:16,4721.71,4720.7,4725.78,-4.27,79.33
M1,SELL,TP,2026-05-11 20:20,2026-05-11 20:20,4729.36,4728.28,4734.44,0.88,80.42
M1,SELL,TP,2026-05-11 20:25,2026-05-11 20:25,4733.96,4732.74,4739.64,1.02,71.59
M1,BUY,TP,2026-05-12 21:00,2026-05-12 21:00,4678.43,4679.62,4673.02,0.99,31.47
M1,BUY,TP,2026-05-12 22:25,2026-05-12 22:25,4641.04,4642.34,4634.3,1.1,17.04
M1,BUY,TP,2026-05-13 15:29,2026-05-13 15:29,4695.32,4695.79,4693.25,0.27,27.79
M1,BUY,TP,2026-05-13 19:22,2026-05-13 19:22,4688.57,4689.24,4684.92,0.47,25.01
M1,BUY,TP,2026-05-13 19:28,2026-05-13 19:28,4685.77,4686.5,4682.42,0.53,26.48
M1,BUY,TP,2026-05-13 19:33,2026-05-13 19:33,4678.22,4679.21,4672.84,0.79,22.26
M1,BUY,TP,2026-05-13 20:37,2026-05-13 20:37,4677.12,4678.03,4672.43,0.71,29.15
M1,BUY,TP,2026-05-13 20:40,2026-05-13 20:40,4674.15,4675.08,4669.98,0.73,21.96
M1,SELL,SL,2026-05-13 22:36,2026-05-13 22:37,4695.51,4694.82,4698.44,-3.13,70.67
M1,SELL,TP,2026-05-13 22:39,2026-05-13 22:39,4698.45,4697.79,4701.25,0.46,73.34
M1,SELL,TP,2026-05-13 22:41,2026-05-13 22:41,4699.01,4698.36,4701.9,0.45,72.28
M1,SELL,TP,2026-05-13 22:44,2026-05-13 22:44,4699.36,4698.73,4702.02,0.43,72.84
M1,SELL,TP,2026-05-14 14:29,2026-05-14 14:29,4706.11,4705.45,4709.05,0.46,68.17
M1,BUY,TP,2026-05-14 15:00,2026-05-14 15:00,4692.66,4693.6,4687.71,0.74,30.18
M1,BUY,TP,2026-05-14 22:05,2026-05-14 22:05,4678.31,4679.17,4674.32,0.66,31.84
M1,SELL,TP,2026-05-15 14:21,2026-05-15 14:21,4587.74,4586.78,4591.91,0.76,68.95
M1,BUY,TP,2026-05-15 15:04,2026-05-15 15:04,4561.12,4561.97,4557.1,0.65,26.58
M1,SELL,TP,2026-05-15 17:14,2026-05-15 17:14,4561.78,4560.84,4565.82,0.74,71.41
M1,SELL,TP,2026-05-15 17:53,2026-05-15 17:53,4567.75,4566.68,4572.57,0.87,68.74
M1,SELL,TP,2026-05-15 21:22,2026-05-15 21:22,4561.12,4559.61,4567.73,1.31,69.15
M1,BUY,TP,2026-05-15 22:57,2026-05-15 22:57,4535.16,4535.95,4531.9,0.59,28.2
M1,SELL,TP,2026-05-18 19:50,2026-05-18 19:50,4573.25,4572.2,4578.24,0.85,70.03
M1,BUY,TP,2026-05-18 21:35,2026-05-18 21:35,4546.87,4548.04,4541.25,0.97,30.46
M1,BUY,TP,2026-05-19 15:28,2026-05-19 15:29,4538.13,4538.82,4535.17,0.49,29.18
M1,BUY,TP,2026-05-19 20:06,2026-05-19 20:06,4522.65,4523.57,4518.0,0.72,22.8
M1,SELL,TP,2026-05-20 16:56,2026-05-20 16:56,4490.24,4489.68,4492.93,0.36,70.05
M1,BUY,TP,2026-05-20 20:29,2026-05-20 20:29,4491.0,4491.76,4487.35,0.56,31.42
M1,SELL,TP,2026-05-20 21:23,2026-05-20 21:23,4508.37,4506.6,4516.79,1.57,71.93
M1,SELL,TP,2026-05-20 21:35,2026-05-20 21:35,4525.69,4523.86,4534.81,1.63,75.45
M1,SELL,TP,2026-05-20 21:53,2026-05-20 21:53,4527.61,4526.27,4533.43,1.14,69.18
M1,SELL,TP,2026-05-21 15:15,2026-05-21 15:16,4534.14,4533.36,4538.24,0.58,72.88
M1,BUY,TP,2026-05-21 17:32,2026-05-21 17:32,4509.48,4510.65,4504.29,0.97,28.11
M1,BUY,TP,2026-05-22 16:18,2026-05-22 16:18,4515.96,4516.49,4513.54,0.33,30.5
M1,SELL,TP,2026-05-22 16:49,2026-05-22 16:49,4527.85,4527.38,4529.85,0.27,70.5
M1,BUY,TP,2026-05-22 17:36,2026-05-22 17:36,4518.81,4519.34,4516.47,0.33,20.31
M1,BUY,TP,2026-05-22 17:43,2026-05-22 17:43,4513.61,4514.26,4510.81,0.45,19.28
M1,BUY,TP,2026-05-22 17:49,2026-05-22 17:49,4511.53,4512.14,4508.86,0.41,19.53
M1,BUY,TP,2026-05-22 21:02,2026-05-22 21:02,4506.49,4507.49,4500.83,0.8,31.73
M1,SELL,TP,2026-05-22 22:12,2026-05-22 22:12,4511.05,4510.4,4513.83,0.45,68.51
M1,SELL,TP,2026-05-22 22:13,2026-05-22 22:13,4511.36,4510.72,4514.09,0.44,68.78
M1,SELL,TP,2026-05-22 22:27,2026-05-22 22:27,4517.44,4516.82,4520.5,0.42,70.15
M1,SELL,TP,2026-05-25 14:00,2026-05-25 14:00,4562.83,4562.41,4564.72,0.22,73.97
M1,SELL,TP,2026-05-25 15:00,2026-05-25 15:00,4564.9,4564.55,4566.28,0.15,74.53
M1,SELL,TP,2026-05-25 16:40,2026-05-25 16:40,4565.23,4564.85,4567.05,0.18,72.94
M1,SELL,TP,2026-05-25 16:48,2026-05-25 16:48,4565.97,4565.62,4567.45,0.15,69.52
M1,SELL,SL,2026-05-25 16:49,2026-05-25 16:53,4566.28,4565.93,4568.03,-1.95,71.43
M1,SELL,TP,2026-05-25 16:51,2026-05-25 16:51,4566.83,4566.5,4568.15,0.13,74.36
M1,SELL,TP,2026-05-25 17:02,2026-05-25 17:03,4569.03,4568.68,4570.47,0.15,69.24
M1,SELL,TP,2026-05-25 17:03,2026-05-25 17:03,4569.39,4569.05,4570.77,0.14,71.06
M1,BUY,TP,2026-05-25 19:03,2026-05-25 19:03,4564.77,4565.15,4563.1,0.18,19.06
M1,BUY,TP,2026-05-25 19:06,2026-05-25 19:06,4563.87,4564.28,4562.11,0.21,22.71
M1,BUY,TP,2026-05-25 19:16,2026-05-25 19:16,4556.19,4556.69,4554.23,0.3,17.23
M1,SELL,TP,2026-05-26 15:00,2026-05-26 15:00,4538.59,4537.98,4541.04,0.41,73.9
M1,BUY,TP,2026-05-26 15:30,2026-05-26 15:31,4521.91,4522.5,4518.58,0.39,26.62
M1,BUY,TP,2026-05-26 15:35,2026-05-26 15:35,4521.08,4521.66,4518.33,0.38,30.33
M1,SELL,TP,2026-05-27 15:42,2026-05-27 15:42,4495.62,4495.11,4497.94,0.31,70.83
M1,SELL,TP,2026-05-27 15:46,2026-05-27 15:46,4496.74,4496.25,4498.96,0.29,72.93
M1,BUY,TP,2026-05-27 17:29,2026-05-27 17:29,4477.54,4478.06,4474.76,0.32,30.98
M1,BUY,TP,2026-05-27 17:58,2026-05-27 17:58,4444.07,4445.37,4438.54,1.1,28.62
M1,BUY,TP,2026-05-27 20:14,2026-05-27 20:14,4412.73,4414.28,4406.04,1.35,29.76
M1,SELL,TP,2026-05-28 14:22,2026-05-28 14:22,4395.54,4394.85,4398.57,0.49,68.44
M1,BUY,SL,2026-05-28 17:51,2026-05-28 17:51,4379.74,4380.43,4376.26,-3.68,16.69
M1,BUY,TP,2026-05-28 19:23,2026-05-28 19:23,4380.49,4381.12,4377.53,0.43,28.56
M1,SELL,TP,2026-05-28 20:02,2026-05-28 20:02,4434.25,4433.13,4439.45,0.92,85.48
M1,SELL,TP,2026-05-28 20:05,2026-05-28 20:05,4434.05,4432.81,4440.47,1.04,78.33
M1,SELL,TP,2026-05-29 14:00,2026-05-29 14:00,4523.62,4523.09,4526.0,0.33,70.96
M1,SELL,TP,2026-05-29 21:06,2026-05-29 21:06,4548.38,4547.38,4552.66,0.8,69.16
M1,SELL,TP,2026-05-29 22:14,2026-05-29 22:14,4593.49,4591.96,4600.39,1.33,80.42
M1,BUY,TP,2026-06-01 16:34,2026-06-01 16:34,4490.76,4491.4,4487.42,0.44,28.68
M1,BUY,TP,2026-06-01 20:55,2026-06-01 20:55,4453.9,4455.27,4448.17,1.17,28.83
M1,BUY,TP,2026-06-01 21:00,2026-06-01 21:00,4449.9,4451.13,4444.82,1.03,23.99
M1,BUY,TP,2026-06-01 21:01,2026-06-01 21:01,4449.83,4451.09,4443.62,1.06,26.29
M1,SELL,SL,2026-06-01 22:30,2026-06-01 22:30,4469.17,4468.5,4472.59,-3.62,70.09
M1,SELL,TP,2026-06-02 17:48,2026-06-02 17:48,4531.56,4531.2,4533.45,0.16,68.59
M1,BUY,TP,2026-06-02 21:19,2026-06-02 21:19,4493.66,4494.53,4489.7,0.67,31.81
M1,BUY,TP,2026-06-03 15:57,2026-06-03 15:57,4443.37,4444.13,4440.07,0.56,30.09
M1,SELL,SL,2026-06-03 17:07,2026-06-03 17:07,4456.69,4455.93,4462.09,-5.6,74.23
M1,SELL,TP,2026-06-03 17:08,2026-06-03 17:08,4462.09,4461.18,4468.86,0.71,76.23
M1,BUY,TP,2026-06-03 20:27,2026-06-03 20:27,4447.23,4448.14,4442.88,0.71,28.55
M1,BUY,TP,2026-06-04 21:15,2026-06-04 21:15,4486.89,4487.86,4482.83,0.77,31.52
M1,BUY,TP,2026-06-04 21:45,2026-06-04 21:45,4473.65,4474.5,4469.58,0.65,27.45
M1,BUY,SL,2026-06-05 20:59,2026-06-05 20:59,4377.27,4378.69,4371.64,-5.83,31.16
M1,BUY,TP,2026-06-08 15:08,2026-06-08 15:08,4290.6,4291.41,4286.9,0.61,28.98
M1,BUY,TP,2026-06-08 16:33,2026-06-08 16:33,4276.27,4276.97,4272.78,0.5,24.32
M1,BUY,TP,2026-06-09 20:29,2026-06-09 20:29,4330.9,4331.57,4328.07,0.47,31.1
M1,BUY,TP,2026-06-09 21:48,2026-06-09 21:48,4280.72,4282.31,4273.45,1.39,23.09
M1,BUY,TP,2026-06-10 14:51,2026-06-10 14:51,4188.8,4189.49,4185.61,0.49,31.28
M1,BUY,TP,2026-06-10 19:15,2026-06-10 19:15,4136.09,4137.22,4130.86,0.93,26.76
M1,BUY,TP,2026-06-10 21:51,2026-06-10 21:51,4139.31,4140.54,4133.66,1.03,24.78
