Time (BKK),CloseTime (BKK),TF,Pattern,Type,RSI,ATR,dist_sma50,dist_sma200,body,range,Entry,SL,TP,Lot,P&L,Balance,Reason
2026-09-09 15:00,2026-09-09 15:15,M15,Naiya Doji,SELL,63.91,7.91,0.5,,13.2,14.94,4409.36,4415.3,4343.06,0.01,-5.94,9994.06,SL
2026-09-09 15:00,2026-09-09 15:15,M15,Naiya Doji,SELL,63.91,7.91,0.5,,13.2,14.94,4409.36,4415.3,4343.06,0.01,-5.94,9988.12,SL
2026-09-09 15:00,2026-09-09 15:15,M15,Naiya Doji,SELL,63.91,7.91,0.5,,13.2,14.94,4409.36,4415.3,4343.06,0.01,-5.94,9982.18,SL
2026-09-09 16:45,2026-09-09 17:00,M15,Naiya Doji,BUY,55.99,11.66,0.46,,0.21,8.47,4417.23,4410.74,4448.54,0.01,-6.49,9975.69,SL
2026-09-09 17:00,2026-09-09 17:00,M15,Naiya Doji,BUY,43.05,15.01,-0.21,,28.98,51.86,4389.88,4386.26,4429.22,0.01,-3.62,9972.07,SL
2026-09-09 17:00,2026-09-09 17:00,M15,Naiya Doji,BUY,43.05,15.01,-0.21,,28.98,51.86,4389.88,4386.26,4433.25,0.01,-3.62,9968.45,SL
2026-09-09 17:00,2026-09-09 17:00,M15,Naiya Doji,BUY,43.05,15.01,-0.21,,28.98,51.86,4394.26,4390.9,4430.38,0.01,-3.36,9965.09,SL
2026-09-09 17:00,2026-09-09 17:00,M15,Naiya Doji,BUY,43.05,15.01,-0.21,,28.98,51.86,4394.26,4390.9,4430.38,0.01,-3.36,9961.73,SL
2026-09-09 17:00,2026-09-09 17:00,M15,Naiya Doji,BUY,43.05,15.01,-0.21,,28.98,51.86,4394.26,4390.9,4430.38,0.01,-3.36,9958.37,SL
2026-09-09 17:00,2026-09-09 17:00,M15,Naiya Doji,BUY,43.05,15.01,-0.21,,28.98,51.86,4394.26,4390.9,4430.38,0.01,-3.36,9955.01,SL
2026-09-09 17:00,2026-09-09 17:00,M15,Naiya Doji,BUY,43.05,15.01,-0.21,,28.98,51.86,4394.26,4390.9,4430.38,0.01,-3.36,9951.65,SL
2026-09-09 17:00,2026-09-09 17:00,M15,Naiya Doji,BUY,43.05,15.01,-0.21,,28.98,51.86,4394.26,4390.9,4430.38,0.01,-3.36,9948.29,SL
2026-09-09 17:00,2026-09-09 17:00,M15,Naiya Doji,BUY,43.05,15.01,-0.21,,28.98,51.86,4394.26,4390.9,4460.8,0.01,-3.36,9944.93,SL
2026-09-09 17:00,2026-09-09 17:00,M15,Naiya Doji,BUY,43.05,15.01,-0.21,,28.98,51.86,4394.26,4390.9,4460.8,0.01,-3.36,9941.57,SL
2026-09-09 18:45,2026-09-09 19:00,M15,Naiya Doji,SELL,39.15,14.99,0.17,,2.33,4.77,4409.36,4415.3,4375.82,0.01,-5.94,9935.63,SL
2026-09-09 18:45,2026-09-09 19:00,M15,Naiya Doji,SELL,39.15,14.99,0.17,,2.33,4.77,4409.36,4415.3,4375.82,0.01,-5.94,9929.69,SL
2026-09-09 18:45,2026-09-09 19:00,M15,Naiya Doji,SELL,39.15,14.99,0.17,,2.33,4.77,4409.36,4415.3,4375.82,0.01,-5.94,9923.75,SL
2026-09-09 18:45,2026-09-09 19:00,M15,Naiya Doji,SELL,39.15,14.99,0.17,,2.33,4.77,4409.36,4415.3,4375.82,0.01,-5.94,9917.81,SL
