Month,Trades,Win,Loss,Net_PnL,Cumulative_PnL
2014-03,56,27,29,2500.0,2500.0
2014-04,108,58,50,6600.0,9100.0
2014-05,179,100,79,12100.0,21200.0
2014-06,105,51,54,4800.0,26000.0
2014-07,153,103,50,15600.0,41600.0
2014-08,125,69,56,8200.0,49800.0
2014-09,140,88,52,12400.0,62200.0
2014-10,250,121,129,11300.0,73500.0
2014-11,119,53,66,4000.0,77500.0
2014-12,68,48,20,7600.0,85100.0
2015-01,243,133,110,15600.0,100700.0
2015-02,81,34,47,2100.0,102800.0
2015-03,150,85,65,10500.0,113300.0
2015-04,147,98,49,14700.0,128000.0
2015-05,182,105,77,13300.0,141300.0
2015-06,109,51,58,4400.0,145700.0
2015-07,218,111,107,11500.0,157200.0
2015-08,113,61,52,7000.0,164200.0
2015-09,161,98,63,13300.0,177500.0
2015-10,184,97,87,10700.0,188200.0
2015-11,99,54,45,6300.0,194500.0
2015-12,66,51,15,8700.0,203200.0
2016-01,275,152,123,18100.0,221300.0
2016-02,104,63,41,8500.0,229800.0
2016-03,127,82,45,11900.0,241700.0
2016-04,289,145,144,14600.0,256300.0
2016-05,137,80,57,10300.0,266600.0
2016-06,167,95,72,11800.0,278400.0
2016-07,36,24,12,3600.0,282000.0
2016-08,121,53,68,3800.0,285800.0
2016-09,89,43,46,4000.0,289800.0
2016-10,287,154,133,17500.0,307300.0
2016-11,146,89,57,12100.0,319400.0
2016-12,107,66,41,9100.0,328500.0
2017-01,96,51,45,5700.0,334200.0
2017-02,186,115,71,15900.0,350100.0
2017-03,1428,788,640,93600.0,443700.0
2017-04,1165,642,523,76100.0,519800.0
2017-05,1266,699,567,83100.0,602900.0
2017-06,1182,640,542,73800.0,676700.0
2017-07,1148,619,529,70900.0,747600.0
2017-08,1365,668,697,63900.0,811500.0
2017-09,1272,686,586,78600.0,890100.0
2017-10,1237,666,571,76100.0,966200.0
2017-11,1315,700,615,78500.0,1044700.0
2017-12,1063,585,478,69200.0,1113900.0
2018-01,1262,696,566,82600.0,1196500.0
2018-02,1077,586,491,68100.0,1264600.0
2018-03,1188,647,541,75300.0,1339900.0
2018-04,1270,694,576,81200.0,1421100.0
2018-05,1233,689,544,83400.0,1504500.0
2018-06,1244,712,532,89200.0,1593700.0
2018-07,1350,724,626,82200.0,1675900.0
2018-08,1413,770,643,89700.0,1765600.0
2018-09,1172,672,500,84400.0,1850000.0
2018-10,1439,777,662,89200.0,1939200.0
2018-11,1215,672,543,80100.0,2019300.0
2018-12,1320,745,575,91500.0,2110800.0
2019-01,1347,794,553,103500.0,2214300.0
2019-02,1376,748,628,86800.0,2301100.0
2019-03,1309,775,534,101600.0,2402700.0
2019-04,1196,682,514,85000.0,2487700.0
2019-05,1470,796,674,91800.0,2579500.0
2019-06,1306,688,618,75800.0,2655300.0
2019-07,1322,783,539,102700.0,2758000.0
2019-08,1291,708,583,83300.0,2841300.0
2019-09,1261,668,593,74300.0,2915600.0
2019-10,1447,793,654,93200.0,3008800.0
2019-11,1223,720,503,93700.0,3102500.0
2019-12,1267,731,536,92600.0,3195100.0
2020-01,1277,731,546,91600.0,3286700.0
2020-02,1205,640,565,71500.0,3358200.0
2020-03,1310,717,593,84100.0,3442300.0
2020-04,1309,702,607,79700.0,3522000.0
2020-05,1310,716,594,83800.0,3605800.0
2020-06,1270,733,537,92900.0,3698700.0
2020-07,1247,725,522,92800.0,3791500.0
2020-08,1116,592,524,66000.0,3857500.0
2020-09,1388,786,602,97000.0,3954500.0
2020-10,1276,719,557,88100.0,4042600.0
2020-11,1290,701,589,81300.0,4123900.0
2020-12,1254,729,525,93300.0,4217200.0
2021-01,1174,644,530,75800.0,4293000.0
2021-02,1177,613,564,66200.0,4359200.0
2021-03,1347,737,610,86400.0,4445600.0
2021-04,1268,688,580,79600.0,4525200.0
2021-05,1275,711,564,85800.0,4611000.0
2021-06,1389,744,645,84300.0,4695300.0
2021-07,1318,735,583,88700.0,4784000.0
2021-08,1298,751,547,95500.0,4879500.0
2021-09,1324,715,609,82100.0,4961600.0
2021-10,1281,723,558,88800.0,5050400.0
2021-11,1329,716,613,81900.0,5132300.0
2021-12,1208,636,572,70000.0,5202300.0
2022-01,1353,728,625,83100.0,5285400.0
2022-02,1111,601,510,69200.0,5354600.0
2022-03,1461,815,646,98400.0,5453000.0
2022-04,1190,665,525,80500.0,5533500.0
2022-05,1287,726,561,89100.0,5622600.0
2022-06,1250,701,549,85300.0,5707900.0
2022-07,1255,664,591,73700.0,5781600.0
2022-08,1276,728,548,90800.0,5872400.0
2022-09,1152,613,539,68700.0,5941100.0
2022-10,1263,700,563,83700.0,6024800.0
2022-11,1298,702,596,80800.0,6105600.0
2022-12,1257,708,549,86700.0,6192300.0
2023-01,1313,765,548,98200.0,6290500.0
2023-02,1083,589,494,68400.0,6358900.0
2023-03,1249,703,546,86000.0,6444900.0
2023-04,1022,581,441,72100.0,6517000.0
2023-05,1384,773,611,93500.0,6610500.0
2023-06,1354,788,566,101000.0,6711500.0
2023-07,1090,639,451,82700.0,6794200.0
2023-08,1303,709,594,82400.0,6876600.0
2023-09,1200,646,554,73800.0,6950400.0
2023-10,1267,694,573,81500.0,7031900.0
2023-11,1224,680,544,81600.0,7113500.0
2023-12,1134,655,479,83100.0,7196600.0
2024-01,916,517,399,63500.0,7260100.0
2024-02,1261,694,567,82100.0,7342200.0
2024-03,1279,668,611,72500.0,7414700.0
2024-04,1206,660,546,77400.0,7492100.0
2024-05,1380,768,612,92400.0,7584500.0
2024-06,1028,560,468,65200.0,7649700.0
2024-07,1416,803,613,99300.0,7749000.0
2024-08,1328,739,589,88900.0,7837900.0
2024-09,1244,686,558,81400.0,7919300.0
2024-10,1351,767,584,95000.0,8014300.0
2024-11,1268,667,601,73300.0,8087600.0
2024-12,1289,705,584,82600.0,8170200.0
2025-01,1398,791,607,97500.0,8267700.0
2025-02,3710,2083,1627,253900.0,8521600.0
2025-03,3835,2140,1695,258500.0,8780100.0
2025-04,3732,2051,1681,242100.0,9022200.0
2025-05,3464,1973,1491,245500.0,9267700.0
2025-06,4015,2216,1799,263300.0,9531000.0
2025-07,4015,2178,1837,251900.0,9782900.0
2025-08,3778,2062,1716,240800.0,10023700.0
2025-09,3947,2137,1810,246400.0,10270100.0
2025-10,3829,2128,1701,255500.0,10525600.0
2025-11,3825,2078,1747,240900.0,10766500.0
2025-12,3893,2155,1738,257200.0,11023700.0
2026-01,3602,1981,1621,234100.0,11257800.0
2026-02,3791,2131,1660,260200.0,11518000.0
2026-03,4476,2457,2019,289500.0,11807500.0
2026-04,4079,2204,1875,253300.0,12060800.0
2026-05,3876,2180,1696,266400.0,12327200.0
2026-06,3965,2180,1785,257500.0,12584700.0
2026-07,3679,2046,1633,245900.0,12830600.0
