signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-23T08:10:00+07:00,2026-01-23T08:20:00+07:00,BUY,4946.15,4936.01,5032.34,BE,-0.2,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-0.86 ATR opposed by volume-weighted CLV pressure=0.21; reclaimed
2026-04-10T00:05:00+07:00,2026-04-10T00:20:00+07:00,SELL,4794.99,4801.8,4737.1,BE,-0.2,S184 SELL CLV Pressure Divergence 8.5R,Displacement=1.45 ATR opposed by volume-weighted CLV pressure=-0.12; reclaimed
2026-04-10T09:05:00+07:00,2026-04-10T09:15:00+07:00,SELL,4761.69,4767.62,4711.28,BE,-0.2,S184 SELL CLV Pressure Divergence 8.5R,Displacement=1.44 ATR opposed by volume-weighted CLV pressure=-0.09; reclaimed
2026-04-10T09:40:00+07:00,2026-04-10T16:50:00+07:00,SELL,4772.59,4777.48,4731.02,TP,41.37,S184 SELL CLV Pressure Divergence 8.5R,Displacement=1.89 ATR opposed by volume-weighted CLV pressure=-0.09; reclaimed
2026-04-13T23:10:00+07:00,2026-04-13T23:20:00+07:00,BUY,4706.83,4699.72,4767.27,BE,-0.2,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-1.19 ATR opposed by volume-weighted CLV pressure=0.19; reclaimed
2026-04-15T08:40:00+07:00,2026-04-15T09:10:00+07:00,BUY,4829.28,4826.76,4850.7,TP,21.22,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-1.69 ATR opposed by volume-weighted CLV pressure=0.22; reclaimed
2026-04-22T11:10:00+07:00,2026-04-22T11:25:00+07:00,SELL,4758.45,4761.22,4734.9,BE,-0.2,S184 SELL CLV Pressure Divergence 8.5R,Displacement=1.15 ATR opposed by volume-weighted CLV pressure=-0.16; reclaimed
2026-04-23T20:45:00+07:00,2026-04-23T20:55:00+07:00,SELL,4736.93,4743.05,4684.91,BE,-0.2,S184 SELL CLV Pressure Divergence 8.5R,Displacement=1.31 ATR opposed by volume-weighted CLV pressure=-0.10; reclaimed
2026-04-28T16:15:00+07:00,2026-04-28T17:20:00+07:00,BUY,4621.45,4614.12,4683.76,BE,-0.2,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-0.91 ATR opposed by volume-weighted CLV pressure=0.10; reclaimed
2026-05-04T14:45:00+07:00,2026-05-04T15:25:00+07:00,BUY,4586.94,4583.27,4618.14,BE,-0.2,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-1.37 ATR opposed by volume-weighted CLV pressure=0.13; reclaimed
2026-05-07T08:35:00+07:00,2026-05-07T08:40:00+07:00,BUY,4691.94,4688.81,4718.55,SL,-3.33,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-1.09 ATR opposed by volume-weighted CLV pressure=0.13; reclaimed
2026-05-07T09:55:00+07:00,2026-05-07T14:25:00+07:00,SELL,4715.59,4722.0,4661.1,BE,-0.2,S184 SELL CLV Pressure Divergence 8.5R,Displacement=1.05 ATR opposed by volume-weighted CLV pressure=-0.09; reclaimed
2026-05-13T10:00:00+07:00,2026-05-13T10:05:00+07:00,BUY,4704.69,4700.69,4738.69,SL,-4.2,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-0.77 ATR opposed by volume-weighted CLV pressure=0.09; reclaimed
2026-05-21T18:40:00+07:00,2026-05-21T18:55:00+07:00,BUY,4511.58,4504.47,4572.02,BE,-0.2,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-3.61 ATR opposed by volume-weighted CLV pressure=0.12; reclaimed
2026-05-22T22:30:00+07:00,2026-05-25T07:05:00+07:00,BUY,4499.77,4491.36,4571.26,TP,71.29,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-1.58 ATR opposed by volume-weighted CLV pressure=0.21; reclaimed
2026-05-27T19:35:00+07:00,2026-05-27T19:55:00+07:00,BUY,4438.35,4431.72,4494.71,SL,-6.83,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-0.98 ATR opposed by volume-weighted CLV pressure=0.10; reclaimed
2026-05-28T12:00:00+07:00,2026-05-28T12:20:00+07:00,BUY,4373.72,4367.96,4422.69,BE,-0.2,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-1.52 ATR opposed by volume-weighted CLV pressure=0.16; reclaimed
2026-06-05T10:45:00+07:00,2026-06-05T10:55:00+07:00,BUY,4444.83,4437.9,4503.74,BE,-0.2,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-1.08 ATR opposed by volume-weighted CLV pressure=0.11; reclaimed
2026-06-09T15:40:00+07:00,2026-06-09T15:50:00+07:00,BUY,4326.81,4321.84,4369.06,BE,-0.2,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-0.92 ATR opposed by volume-weighted CLV pressure=0.14; reclaimed
2026-06-17T16:50:00+07:00,2026-06-17T17:10:00+07:00,BUY,4321.67,4316.83,4362.82,BE,-0.2,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-2.11 ATR opposed by volume-weighted CLV pressure=0.13; reclaimed
2026-06-25T16:05:00+07:00,2026-06-25T16:20:00+07:00,SELL,3990.21,3995.89,3941.93,BE,-0.2,S184 SELL CLV Pressure Divergence 8.5R,Displacement=0.89 ATR opposed by volume-weighted CLV pressure=-0.09; reclaimed
2026-06-29T10:35:00+07:00,2026-06-29T10:50:00+07:00,SELL,4064.37,4072.33,3996.71,BE,-0.2,S184 SELL CLV Pressure Divergence 8.5R,Displacement=1.07 ATR opposed by volume-weighted CLV pressure=-0.10; reclaimed
2026-07-07T08:50:00+07:00,2026-07-07T08:55:00+07:00,BUY,4152.0,4147.36,4191.45,SL,-4.84,S184 BUY CLV Pressure Divergence 8.5R,Displacement=-1.55 ATR opposed by volume-weighted CLV pressure=0.10; reclaimed
2026-07-17T09:00:00+07:00,2026-07-17T09:05:00+07:00,SELL,3989.73,3992.46,3966.52,SL,-2.93,S184 SELL CLV Pressure Divergence 8.5R,Displacement=0.90 ATR opposed by volume-weighted CLV pressure=-0.16; reclaimed
