label,days,date,total,S208_M1,S2010_M30_FSP,other_total
S85_BASELINE,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.73,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.73,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.73,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.73,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.72,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.72,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.72,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.72,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.71,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.71,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.71,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.71,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.7,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.7,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.7,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.7,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.69,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.69,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.69,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.69,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.68,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.68,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.68,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.68,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.67,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.67,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.67,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.67,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.66,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.66,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.66,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.66,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.65,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.65,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.65,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.65,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.64,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.64,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.64,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.64,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.63,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.63,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.63,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
