days,date,total
90,2026-02-09,947.3148
90,2026-02-10,0.0
90,2026-02-11,1051.33974
90,2026-02-12,792.4721
90,2026-02-13,-57.3709
90,2026-02-16,1697.67306
90,2026-02-17,-738.05056
90,2026-02-18,-2.45244
90,2026-02-19,897.49535
90,2026-02-20,1680.47044
90,2026-02-21,500.13
90,2026-02-23,396.07825
90,2026-02-24,174.15738
90,2026-02-25,51.20698
90,2026-02-26,2508.39772
90,2026-02-27,-49.4367
90,2026-02-28,211.24
90,2026-03-02,2893.39836
90,2026-03-03,2843.836
90,2026-03-04,-175.17156
90,2026-03-05,-942.94258
90,2026-03-06,241.47824
90,2026-03-07,46.62
90,2026-03-09,-958.0821
90,2026-03-10,496.13025
90,2026-03-11,797.62256
90,2026-03-12,-352.27978
90,2026-03-13,388.77024
90,2026-03-16,-711.77478
90,2026-03-17,-969.09381
90,2026-03-18,708.76302
90,2026-03-19,913.41666
90,2026-03-20,-311.02
90,2026-03-21,35.2
90,2026-03-23,534.16
90,2026-03-24,2758.3578
90,2026-03-25,-419.2899
90,2026-03-26,775.72212
90,2026-03-27,-299.77932
90,2026-03-30,745.4758
90,2026-03-31,392.03406
90,2026-04-01,1541.30414
90,2026-04-02,2073.476
90,2026-04-03,-151.4205
90,2026-04-06,-214.72214
90,2026-04-07,381.60354
90,2026-04-08,393.06722
90,2026-04-09,681.68754
90,2026-04-10,825.15556
90,2026-04-11,-13.96
90,2026-04-13,-209.43412
90,2026-04-14,1189.24552
90,2026-04-15,-92.77652
90,2026-04-16,569.92099
90,2026-04-17,599.50855
90,2026-04-18,109.92
90,2026-04-20,1478.69373
90,2026-04-21,522.7468
90,2026-04-22,-733.00023
90,2026-04-23,2595.62076
90,2026-04-24,1680.16689
90,2026-04-25,-42.15
90,2026-04-27,1858.71577
90,2026-04-28,1449.53791
90,2026-04-29,561.10824
90,2026-04-30,-304.31081
90,2026-05-01,284.96397
90,2026-05-04,969.37351
90,2026-05-05,696.57891
90,2026-05-06,871.45575
90,2026-05-07,-179.16721
90,2026-05-08,676.49071
90,2026-05-09,75.97
90,2026-05-11,-640.0832
90,2026-05-12,1057.79511
90,2026-05-13,1814.32996
90,2026-05-14,1039.40911
90,2026-05-15,590.68144
90,2026-05-16,-34.79
90,2026-05-18,820.25067
90,2026-05-19,1029.07622
90,2026-05-20,830.99443
90,2026-05-21,273.64499
90,2026-05-22,25.74307
90,2026-05-23,-29.07
90,2026-05-25,1745.41787
90,2026-05-26,359.07959
90,2026-05-27,2038.12629
90,2026-05-28,1237.34612
