days,date,total
90,2026-02-09,947.3148
90,2026-02-10,0.0
90,2026-02-11,1051.33974
90,2026-02-12,68.1541
90,2026-02-13,-59.4685
90,2026-02-16,721.06484
90,2026-02-17,-713.25274
90,2026-02-18,-999.82688
90,2026-02-19,87.52669
90,2026-02-20,3.5222
90,2026-02-21,500.13
90,2026-02-23,-219.9198
90,2026-02-24,635.3415
90,2026-02-25,488.4016
90,2026-02-26,2849.9214
90,2026-02-27,-67.48568
90,2026-02-28,211.24
90,2026-03-02,3302.8922
90,2026-03-03,2843.836
90,2026-03-04,275.55889
90,2026-03-05,-253.42404
90,2026-03-06,606.29371
90,2026-03-07,46.62
90,2026-03-09,-495.95558
90,2026-03-10,287.80207
90,2026-03-11,2479.88638
90,2026-03-12,457.5578
90,2026-03-13,1455.02173
90,2026-03-16,810.47235
90,2026-03-17,-358.5555
90,2026-03-18,17.4975
90,2026-03-19,910.22
90,2026-03-20,-311.02
90,2026-03-21,35.2
90,2026-03-23,534.16
90,2026-03-24,2758.3578
90,2026-03-25,-977.76714
90,2026-03-26,786.3986
90,2026-03-27,-999.90831
90,2026-03-30,745.4758
90,2026-03-31,391.52286
90,2026-04-01,1144.5275
90,2026-04-02,2073.476
90,2026-04-03,-151.4205
90,2026-04-06,-112.55503
90,2026-04-07,157.2651
90,2026-04-08,975.8985
90,2026-04-09,378.1802
90,2026-04-10,1328.76548
90,2026-04-11,-13.96
90,2026-04-13,-239.37
90,2026-04-14,636.3106
90,2026-04-15,-892.8366
90,2026-04-16,-138.60872
90,2026-04-17,861.78515
90,2026-04-18,109.92
90,2026-04-20,2375.69176
90,2026-04-21,356.8051
90,2026-04-22,186.01894
90,2026-04-23,488.92896
90,2026-04-24,88.14003
90,2026-04-25,-42.15
90,2026-04-27,1383.22815
90,2026-04-28,1321.32286
90,2026-04-29,69.4875
90,2026-04-30,348.00179
90,2026-05-01,-160.42821
90,2026-05-04,1754.25517
90,2026-05-05,579.86329
90,2026-05-06,-931.73255
90,2026-05-07,-999.90232
90,2026-05-08,661.42601
90,2026-05-09,75.97
90,2026-05-11,1236.9551
90,2026-05-12,1728.69821
90,2026-05-13,117.5327
90,2026-05-14,940.64791
90,2026-05-15,2110.56038
90,2026-05-16,-34.79
90,2026-05-18,824.91473
90,2026-05-19,1495.85676
90,2026-05-20,59.43511
90,2026-05-21,256.83929
90,2026-05-22,533.91137
90,2026-05-23,-29.07
90,2026-05-25,476.8284
90,2026-05-26,-724.9923
90,2026-05-27,-457.68132
90,2026-05-28,1272.6318
90,2026-05-29,592.4851
