bar_index,signal_time,side,entry,sl,tp,score,members,profit
2435,2026-01-20T22:30:00+07:00,BUY,4729.09,4721.8,4807.83,2.0,114;172,78.54
3240,2026-01-23T20:45:00+07:00,BUY,4930.91,4921.98,4946.99,3.0,114;294,15.88
5980,2026-02-06T19:20:00+07:00,BUY,4878.92,4876.03,4960.13,3.0,258;294,-3.09
5982,2026-02-06T19:30:00+07:00,BUY,4883.57,4876.4,5034.86,2.0,258;294,151.09
6799,2026-02-11T18:40:00+07:00,BUY,5108.88,5100.78,5279.8,2.0,294;327,-8.3
6805,2026-02-11T19:10:00+07:00,BUY,5106.1,5098.68,5262.67,2.0,294;327,-7.62
7371,2026-02-13T20:20:00+07:00,BUY,4964.27,4957.11,5028.72,2.0,165;258,64.25
9017,2026-02-23T22:05:00+07:00,BUY,5197.1,5186.52,5324.06,2.0,327;332,-10.78
9132,2026-02-24T08:40:00+07:00,BUY,5170.01,5161.14,5249.84,2.0,165;172,-9.07
12874,2026-03-13T20:40:00+07:00,BUY,5102.75,5095.06,5116.6,2.0,114;294,13.65
12983,2026-03-16T06:50:00+07:00,BUY,4981.0,4971.42,5067.22,2.0,165;172,-9.78
16197,2026-03-31T22:50:00+07:00,BUY,4604.37,4599.59,4656.0,2.0,172;332,-4.98
16263,2026-04-01T04:20:00+07:00,SELL,4672.69,4678.72,4612.38,2.0,206;221,-6.23
16944,2026-04-06T16:10:00+07:00,BUY,4687.98,4681.83,4754.4,2.0,172;332,-6.35
17278,2026-04-07T21:00:00+07:00,BUY,4653.02,4647.68,4701.09,2.0,165;258,-5.54
17287,2026-04-07T21:45:00+07:00,BUY,4642.52,4635.08,4709.49,2.0,165;258,-7.64
18656,2026-04-14T20:55:00+07:00,BUY,4767.86,4761.82,4822.22,2.0,165;172,54.16
18922,2026-04-15T20:05:00+07:00,BUY,4813.05,4806.66,4881.43,2.0,294;322,-6.59
19750,2026-04-20T20:10:00+07:00,BUY,4811.15,4807.34,4891.55,2.0,294;322,-4.01
23054,2026-05-06T19:40:00+07:00,BUY,4699.63,4697.45,4760.89,2.0,258;294,-2.38
23621,2026-05-08T20:55:00+07:00,SELL,4726.33,4732.58,4626.33,2.0,166;258,-6.45
23880,2026-05-11T19:35:00+07:00,BUY,4675.28,4670.11,4730.6,2.0,294;322,-5.37
24456,2026-05-13T21:35:00+07:00,SELL,4674.31,4684.64,4591.67,2.0,327;332,-10.53
24726,2026-05-14T21:05:00+07:00,BUY,4700.02,4695.8,4745.6,2.0,172;294,-4.42
26080,2026-05-21T19:00:00+07:00,BUY,4515.45,4510.27,4571.4,2.0,165;172,-5.38
26625,2026-05-25T18:30:00+07:00,BUY,4572.66,4569.86,4631.75,2.0,294;322,-3.0
27867,2026-06-01T09:30:00+07:00,BUY,4529.94,4526.58,4560.18,2.0,165;172,-3.56
28836,2026-06-04T21:15:00+07:00,BUY,4507.83,4502.6,4570.59,2.0,294;332,-5.43
29113,2026-06-05T21:20:00+07:00,SELL,4409.95,4420.69,4324.03,5.0,311;312;322;327;332,85.72
29361,2026-06-08T19:05:00+07:00,BUY,4306.37,4299.53,4379.56,2.0,294;322,-7.04
30169,2026-06-11T17:25:00+07:00,SELL,4079.48,4085.5,4018.67,2.0,311;312,-6.22
30453,2026-06-12T18:05:00+07:00,BUY,4224.74,4219.86,4327.71,2.0,294;332,-5.08
30469,2026-06-12T19:25:00+07:00,SELL,4202.49,4210.71,4114.53,2.0,312;322,-8.42
30997,2026-06-16T17:30:00+07:00,BUY,4344.76,4339.12,4412.45,2.0,294;332,-5.84
31051,2026-06-16T22:00:00+07:00,BUY,4335.11,4331.12,4371.02,2.0,165;172,-4.19
31571,2026-06-18T19:20:00+07:00,BUY,4246.19,4243.24,4272.74,2.0,165;258,-3.15
32634,2026-06-24T19:55:00+07:00,SELL,4046.83,4055.27,3961.58,2.0,311;312,85.05
33333,2026-06-29T09:15:00+07:00,BUY,4057.57,4053.34,4103.26,2.0,165;172,-4.43
34011,2026-07-01T19:45:00+07:00,BUY,4034.11,4028.26,4104.31,2.0,294;332,-6.05
34017,2026-07-01T20:15:00+07:00,BUY,4028.0,4021.13,4172.96,2.0,294;332,-7.07
35629,2026-07-09T20:40:00+07:00,SELL,4117.78,4123.01,4034.09,2.0,166;258,-5.43
35637,2026-07-09T21:20:00+07:00,BUY,4125.33,4118.11,4183.1,2.0,294;327,-7.42
35900,2026-07-10T20:15:00+07:00,SELL,4109.18,4116.81,4032.11,2.0,258;312,-7.83
36009,2026-07-13T06:25:00+07:00,BUY,4082.69,4079.61,4110.41,2.0,165;172,-3.28
36038,2026-07-13T08:50:00+07:00,BUY,4071.66,4068.2,4102.8,2.0,165;172,-3.66
36736,2026-07-15T21:00:00+07:00,BUY,4072.18,4064.16,4168.42,2.0,294;332,-8.22
